,symbol,report_date,open,close,high,low,volume
0,TSLA,2010-06-29,1.27,1.59,1.67,1.17,281494500
1,TSLA,2010-06-30,1.72,1.59,2.03,1.55,257806500
2,TSLA,2010-07-01,1.67,1.46,1.73,1.35,123282000
3,TSLA,2010-07-02,1.53,1.28,1.54,1.25,77097000
4,TSLA,2010-07-06,1.33,1.07,1.33,1.06,103003500
5,TSLA,2010-07-07,1.09,1.05,1.11,1.0,103825500
6,TSLA,2010-07-08,1.08,1.16,1.17,1.04,115671000
7,TSLA,2010-07-09,1.17,1.16,1.19,1.1,60759000
8,TSLA,2010-07-12,1.2,1.14,1.2,1.13,33037500
9,TSLA,2010-07-13,1.16,1.21,1.24,1.13,40201500
10,TSLA,2010-07-14,1.2,1.32,1.34,1.18,62928000
11,TSLA,2010-07-15,1.33,1.33,1.43,1.27,56097000
12,TSLA,2010-07-16,1.38,1.38,1.42,1.34,39319500
13,TSLA,2010-07-19,1.42,1.46,1.48,1.39,37297500
14,TSLA,2010-07-20,1.46,1.35,1.46,1.34,27379500
15,TSLA,2010-07-21,1.38,1.35,1.39,1.3,18787500
16,TSLA,2010-07-22,1.37,1.4,1.42,1.36,14367000
17,TSLA,2010-07-23,1.41,1.42,1.44,1.4,9804000
18,TSLA,2010-07-26,1.43,1.4,1.43,1.35,13833000
19,TSLA,2010-07-27,1.39,1.37,1.41,1.35,9295500
20,TSLA,2010-07-28,1.37,1.38,1.39,1.37,7008000
21,TSLA,2010-07-29,1.38,1.36,1.39,1.33,9240000
22,TSLA,2010-07-30,1.35,1.33,1.36,1.3,6403500
23,TSLA,2010-08-02,1.37,1.39,1.4,1.36,10771500
24,TSLA,2010-08-03,1.4,1.46,1.46,1.39,18457500
25,TSLA,2010-08-04,1.46,1.42,1.48,1.39,13695000
26,TSLA,2010-08-05,1.44,1.36,1.44,1.34,11943000
27,TSLA,2010-08-06,1.34,1.31,1.34,1.3,11128500
28,TSLA,2010-08-09,1.33,1.31,1.33,1.3,12190500
29,TSLA,2010-08-10,1.31,1.27,1.31,1.25,19219500
30,TSLA,2010-08-11,1.25,1.19,1.26,1.19,11964000
31,TSLA,2010-08-12,1.19,1.17,1.19,1.16,10365000
32,TSLA,2010-08-13,1.21,1.22,1.23,1.18,9510000
33,TSLA,2010-08-16,1.23,1.25,1.25,1.22,7287000
34,TSLA,2010-08-17,1.26,1.28,1.29,1.25,6718500
35,TSLA,2010-08-18,1.31,1.25,1.31,1.24,9019500
36,TSLA,2010-08-19,1.24,1.25,1.28,1.22,8686500
37,TSLA,2010-08-20,1.24,1.27,1.27,1.23,4440000
38,TSLA,2010-08-23,1.27,1.34,1.36,1.27,16321500
39,TSLA,2010-08-24,1.28,1.28,1.31,1.26,10096500
40,TSLA,2010-08-25,1.28,1.33,1.33,1.24,7549500
41,TSLA,2010-08-26,1.33,1.32,1.35,1.31,6507000
42,TSLA,2010-08-27,1.32,1.31,1.32,1.3,5694000
43,TSLA,2010-08-30,1.31,1.32,1.35,1.31,10992000
44,TSLA,2010-08-31,1.31,1.3,1.32,1.29,3016500
45,TSLA,2010-09-01,1.31,1.36,1.38,1.31,7423500
46,TSLA,2010-09-02,1.36,1.4,1.42,1.35,7306500
47,TSLA,2010-09-03,1.39,1.4,1.42,1.38,6519000
48,TSLA,2010-09-07,1.37,1.37,1.4,1.37,3651000
49,TSLA,2010-09-08,1.38,1.39,1.4,1.37,4326000
50,TSLA,2010-09-09,1.4,1.38,1.4,1.38,5643000
51,TSLA,2010-09-10,1.38,1.34,1.4,1.32,5799000
52,TSLA,2010-09-13,1.39,1.38,1.39,1.37,5412000
53,TSLA,2010-09-14,1.37,1.41,1.44,1.37,9820500
54,TSLA,2010-09-15,1.4,1.47,1.47,1.39,10269000
55,TSLA,2010-09-16,1.48,1.4,1.54,1.39,40267500
56,TSLA,2010-09-17,1.4,1.35,1.42,1.32,17977500
57,TSLA,2010-09-20,1.38,1.4,1.42,1.34,14212500
58,TSLA,2010-09-21,1.39,1.38,1.44,1.38,11940000
59,TSLA,2010-09-22,1.39,1.32,1.4,1.32,14443500
60,TSLA,2010-09-23,1.33,1.3,1.34,1.3,10021500
61,TSLA,2010-09-24,1.33,1.34,1.35,1.31,8683500
62,TSLA,2010-09-27,1.36,1.37,1.39,1.34,6279000
63,TSLA,2010-09-28,1.4,1.43,1.43,1.38,18217500
64,TSLA,2010-09-29,1.41,1.47,1.47,1.41,29539500
65,TSLA,2010-09-30,1.47,1.36,1.48,1.35,32937000
66,TSLA,2010-10-01,1.38,1.37,1.38,1.35,8965500
67,TSLA,2010-10-04,1.36,1.4,1.41,1.35,9654000
68,TSLA,2010-10-05,1.41,1.41,1.42,1.4,4980000
69,TSLA,2010-10-06,1.4,1.36,1.42,1.35,4701000
70,TSLA,2010-10-07,1.37,1.36,1.38,1.36,2115000
71,TSLA,2010-10-08,1.36,1.36,1.39,1.36,4017000
72,TSLA,2010-10-11,1.36,1.35,1.38,1.34,2568000
73,TSLA,2010-10-12,1.35,1.35,1.35,1.34,3660000
74,TSLA,2010-10-13,1.38,1.37,1.39,1.36,4773000
75,TSLA,2010-10-14,1.4,1.38,1.4,1.36,4422000
76,TSLA,2010-10-15,1.39,1.37,1.39,1.35,4270500
77,TSLA,2010-10-18,1.37,1.35,1.38,1.35,2442000
78,TSLA,2010-10-19,1.35,1.34,1.36,1.33,3678000
79,TSLA,2010-10-20,1.34,1.38,1.38,1.34,4687500
80,TSLA,2010-10-21,1.37,1.38,1.4,1.36,6256500
81,TSLA,2010-10-22,1.38,1.38,1.4,1.37,2416500
82,TSLA,2010-10-25,1.4,1.39,1.4,1.38,1777500
83,TSLA,2010-10-26,1.39,1.42,1.46,1.37,9913500
84,TSLA,2010-10-27,1.42,1.4,1.43,1.38,5347500
85,TSLA,2010-10-28,1.43,1.41,1.43,1.4,3363000
86,TSLA,2010-10-29,1.41,1.46,1.46,1.4,4209000
87,TSLA,2010-11-01,1.46,1.43,1.52,1.42,6837000
88,TSLA,2010-11-02,1.45,1.42,1.46,1.4,4837500
89,TSLA,2010-11-03,1.42,1.45,1.5,1.41,5589000
90,TSLA,2010-11-04,1.51,1.66,1.69,1.48,28110000
91,TSLA,2010-11-05,1.66,1.63,1.66,1.58,15165000
92,TSLA,2010-11-08,1.63,1.67,1.67,1.6,7642500
93,TSLA,2010-11-09,1.67,1.64,1.71,1.6,14346000
94,TSLA,2010-11-10,1.63,1.96,2.0,1.6,45907500
95,TSLA,2010-11-11,1.91,1.87,1.94,1.82,29179500
96,TSLA,2010-11-12,1.88,1.99,2.03,1.87,40936500
97,TSLA,2010-11-15,2.01,2.05,2.2,2.01,39343500
98,TSLA,2010-11-16,2.07,1.98,2.09,1.89,20214000
99,TSLA,2010-11-17,2.01,1.97,2.05,1.91,11250000
100,TSLA,2010-11-18,2.04,1.99,2.05,1.93,14341500
101,TSLA,2010-11-19,2.01,2.07,2.09,1.98,17257500
102,TSLA,2010-11-22,2.1,2.23,2.23,2.1,22945500
103,TSLA,2010-11-23,2.22,2.3,2.38,2.15,23667000
104,TSLA,2010-11-24,2.35,2.36,2.4,2.29,21375000
105,TSLA,2010-11-26,2.37,2.35,2.4,2.32,5259000
106,TSLA,2010-11-29,2.36,2.29,2.4,2.22,17184000
107,TSLA,2010-11-30,2.25,2.36,2.36,2.23,33339000
108,TSLA,2010-12-01,2.39,2.29,2.43,2.23,19488000
109,TSLA,2010-12-02,2.27,2.16,2.29,2.08,30105000
110,TSLA,2010-12-03,2.13,2.1,2.15,2.06,17401500
111,TSLA,2010-12-06,2.09,2.02,2.1,1.97,19116000
112,TSLA,2010-12-07,2.03,2.1,2.16,2.0,19669500
113,TSLA,2010-12-08,2.17,2.16,2.17,2.1,9900000
114,TSLA,2010-12-09,2.17,2.14,2.18,2.11,6090000
115,TSLA,2010-12-10,2.14,2.1,2.19,2.08,6441000
116,TSLA,2010-12-13,2.11,2.04,2.12,2.03,6156000
117,TSLA,2010-12-14,2.02,1.9,2.03,1.85,26485500
118,TSLA,2010-12-15,1.91,1.97,2.0,1.9,11143500
119,TSLA,2010-12-16,2.0,2.05,2.06,1.98,11851500
120,TSLA,2010-12-17,2.09,2.09,2.1,2.05,12195000
121,TSLA,2010-12-20,2.11,2.11,2.15,2.08,7851000
122,TSLA,2010-12-21,2.12,2.15,2.18,2.11,11665500
123,TSLA,2010-12-22,2.15,2.18,2.19,2.11,12499500
124,TSLA,2010-12-23,2.08,2.01,2.17,1.99,23289000
125,TSLA,2010-12-27,1.87,1.7,1.91,1.67,139528500
126,TSLA,2010-12-28,1.72,1.76,1.78,1.67,60844500
127,TSLA,2010-12-29,1.8,1.85,1.87,1.77,49788000
128,TSLA,2010-12-30,1.85,1.77,1.86,1.76,30616500
129,TSLA,2010-12-31,1.77,1.78,1.82,1.77,21268500
130,TSLA,2011-01-03,1.79,1.77,1.8,1.73,19245000
131,TSLA,2011-01-04,1.78,1.78,1.8,1.73,17811000
132,TSLA,2011-01-05,1.77,1.79,1.79,1.75,21700500
133,TSLA,2011-01-06,1.79,1.86,1.87,1.79,30918000
134,TSLA,2011-01-07,1.87,1.88,1.91,1.86,33718500
135,TSLA,2011-01-10,1.88,1.9,1.91,1.87,20140500
136,TSLA,2011-01-11,1.91,1.8,1.91,1.79,25653000
137,TSLA,2011-01-12,1.8,1.8,1.83,1.77,14466000
138,TSLA,2011-01-13,1.8,1.75,1.8,1.74,10854000
139,TSLA,2011-01-14,1.74,1.72,1.77,1.71,17880000
140,TSLA,2011-01-18,1.7,1.71,1.71,1.65,24325500
141,TSLA,2011-01-19,1.68,1.6,1.7,1.58,35572500
142,TSLA,2011-01-20,1.6,1.51,1.63,1.49,34198500
143,TSLA,2011-01-21,1.54,1.54,1.57,1.51,18255000
144,TSLA,2011-01-24,1.57,1.63,1.65,1.55,24676500
145,TSLA,2011-01-25,1.64,1.65,1.66,1.6,19072500
146,TSLA,2011-01-26,1.65,1.65,1.66,1.61,16198500
147,TSLA,2011-01-27,1.65,1.66,1.67,1.64,13435500
148,TSLA,2011-01-28,1.66,1.6,1.66,1.58,15726000
